index,label,vector
37,optoacoustic,"[0.0010339977452531457, 0.0006115647265687585, 0.0014951586490496993, -0.0017191023798659444, -0.0021183686330914497, 0.001902261981740594, -0.003387447679415345, 0.0026700496673583984, 0.0008753420552238822, -0.0018787392182275653, -0.0015183230862021446, 0.002095387550070882, -0.0011038974625989795, -0.0022724727168679237, 0.001789494534023106, 0.0022475679870694876, -0.0036501693539321423, -0.0015581087209284306, 0.0008087922469712794, -0.002472907304763794, 0.0037048025988042355, -0.0009554547141306102, -0.003581835189834237, 0.0034232577309012413, 0.0032266047783195972, 0.0030612286645919085, 0.0014973798533901572, 0.0039007843006402254, 0.0020607139449566603, 0.0024504787288606167, 0.0013273411896079779, -0.0026781524065881968, 0.0006407794426195323, 0.0019129057181999087, 0.0036695508752018213, -0.002821696223691106, -0.00271724839694798, -0.0035749864764511585, -0.0009140261681750417, 0.003424005350098014, 0.0022168748546391726, -0.0004043981898576021, 0.0011446058051660657, 0.0014522629790008068, 0.0037961353082209826, 0.00163377879653126, 0.0029263885226100683, -0.0008198335999622941, -0.0026108697056770325, 0.002997694769874215, 0.0003192636067979038, -0.002814049832522869, -0.00267571653239429, 0.0011998822446912527, 0.001982668414711952, 0.002197877736762166, 0.002611990785226226, 0.003051297040656209, 0.0012907199561595917, -2.8506747185019776e-05, 0.0009467393974773586, -0.003492285730317235, -0.0016387952491641045, -0.0011181291192770004, 0.003151956479996443, 0.00013496587052941322, -0.0031361596193164587, 0.002658140379935503, 0.0027586377691477537, 0.00021069009380880743, -0.002361756283789873, -0.0009944663615897298, 0.00035708060022443533, 0.0029579501133412123, 0.0024066977202892303, -0.0034300400875508785, 0.0018500713631510735, -0.00030448820325545967, 0.0017843196401372552, -0.0014461504761129618, -0.001902121352031827, -0.001225658692419529, 0.00015423601143993437, 0.003310900181531906, -0.002083791187033057, -0.0019081644713878632, 0.0013887308305129409, 0.001937636872753501, -0.0015549770323559642, 0.0005576109397225082, 0.0025935564190149307, -0.003081568982452154, -0.0005574257229454815, 0.0018182311905547976, 0.001981755718588829, 0.0027708555571734905, -9.544646309223026e-05, 0.002393183996900916, 0.0022053231950849295, -0.0006024554022587836, 0.002077194396406412, 0.002227778546512127, -3.403208029340021e-05, 0.0006237294292077422, -0.0016002191696316004, -0.001065341872163117, 0.0011220454471185803, -0.00018008676124736667, -0.00012841401621699333, 0.002295768354088068, -0.003067897167056799, 0.0024408353492617607, 0.002586629008874297, -0.0032917738426476717, 0.00010125307744601741, 0.001546670449897647, -0.0026747158262878656, -0.003346529556438327, 0.0023426867555826902, 0.001640971633605659, 0.002912245923653245, 0.0006746693979948759, -0.0015002124710008502, 0.0017581398133188486, 0.0024667184334248304, 0.0015123647172003984, 0.0006895246915519238, -0.0016551065491512418]"
38,,"[-0.002632449148222804, -0.0012524441117420793, 0.000369712186511606, -0.00025638227816671133, 0.000980628770776093, -0.0012588681420311332, 0.0013143600663170218, 0.003253098577260971, 0.0001593656634213403, 0.0027641437482088804, 0.0035495483316481113, -0.00023077048535924405, 0.0013574449112638831, 0.003068610094487667, 0.001786174951121211, 0.0029567775782197714, 0.0018287900602445006, 0.0037569135893136263, 0.003436737461015582, 0.0007663284195587039, 0.0028052895795553923, -0.0017303361091762781, 0.0018809095490723848, 0.001460625440813601, 0.003394545754417777, -0.0018759765662252903, -0.0027275937609374523, -0.00262877787463367, 0.0016410183161497116, 0.0026241836603730917, 0.0020409247372299433, -0.00331454467959702, 0.0010375906713306904, -0.0022600404918193817, -0.0015005497261881828, -0.0038827781099826097, 0.0015025802422314882, 0.0010692544747143984, -0.0004521328373812139, 0.00273147807456553, -0.0018380980473011732, -0.0025750098284333944, -0.002809883328154683, 0.0014550311025232077, 0.0003165767702739686, 0.00022635054483544081, 0.0015260736690834165, 0.0037391053047031164, -0.0037789144553244114, 0.0015346631407737732, 0.0029255913104861975, 0.001061400049366057, -0.0004363783518783748, -0.002365090884268284, 0.003620337462052703, 0.0036974407266825438, -0.0007023414364084601, 0.00366389867849648, -0.002675484400242567, -0.002780745504423976, 0.0024348299484699965, 0.0037976494058966637, -0.0002792968007270247, -0.002621427644044161, -0.002774310763925314, 5.631134172290331e-06, 0.002727131126448512, 0.0011325632221996784, -0.0031222247052937746, 0.0016480603953823447, 0.002472435589879751, -0.00013354916882235557, -0.002215889049693942, -0.0014865814009681344, 0.00014649040531367064, -0.0022543056402355433, 0.0017073774943128228, 0.00210049981251359, -0.0025449548847973347, 0.002216616179794073, 0.002283233217895031, 4.803681804332882e-05, -0.0029754263814538717, -0.0010156250791624188, 0.003461656626313925, 0.0009860837599262595, 0.0015272978926077485, -0.002121413592249155, 0.002966779051348567, 0.0036948290653526783, 0.0011736525921151042, -0.0010014427825808525, -0.0019125029211863875, 0.001863116049207747, 0.0021699590142816305, -0.003425290109589696, 0.0037062130868434906, 0.0010010250844061375, -0.0003260026569478214, -0.0026147724129259586, -0.002436343114823103, 0.0035430551506578922, -0.0007326180930249393, 0.0019036511657759547, -0.0011102799326181412, 0.0034982815850526094, -0.0003998765896540135, 0.002392563270404935, 0.0008333082660101354, -0.0028208820149302483, -0.0010116774355992675, -0.0008408147841691971, 0.0017293727723881602, -0.0007166066789068282, -0.0034951218403875828, 0.0015131074469536543, -0.00011107494356110692, 0.0012415441451594234, -0.0018222082871943712, 0.0027160504832863808, -0.0009699740330688655, 0.0025663753040134907, -0.0034250160679221153, 0.0033211703412234783, 0.0022170166485011578, -0.0036865058355033398, -0.0023614626843482256, -0.0028262236155569553]"
39,machine learning,"[0.0018551087705418468, 0.002245565177872777, 0.0017159824492409825, -0.0029656370170414448, -0.001876733498647809, -0.001867069979198277, -0.0027635032311081886, 0.0032773464918136597, 0.0036907531321048737, 0.002561471424996853, -0.0033705609384924173, 0.00385138182900846, 0.0009706249111331999, -0.0018150571268051863, -0.00167712417896837, -0.0024916494730859995, -0.0018653608858585358, 0.0029797907918691635, 0.0038516696076840162, 0.0016429972602054477, -0.0024942790623754263, 5.4625732445856556e-05, 0.0012237735791131854, 0.003797958604991436, 0.001692121266387403, -0.0010260582203045487, 0.00024855975061655045, -0.0017778860637918115, 0.0007546433480456471, -0.002331080846488476, 0.0019044210202991962, 0.0011232034303247929, -0.0035411976277828217, -0.0020549860782921314, -0.0012381430715322495, 0.0010863117640838027, -0.001010808045975864, -0.00119754986371845, -0.0006362338899634778, 0.0016137459315359592, 0.0016554942121729255, -0.0026699132286012173, -2.3090638933354057e-05, 0.0003651720762718469, 0.0002675116993486881, -0.0027216498274356127, 0.001265691826120019, 0.0012951174285262823, -0.0007986786076799035, 0.002887345151975751, -0.0032749164383858442, -0.002165221842005849, 0.0017869435250759125, 0.0028865565545856953, -0.002846170449629426, 0.003640953451395035, 0.001233231625519693, -0.0007978911162354052, 0.003030346008017659, -0.003674344625324011, -0.000786944292485714, -9.769754251465201e-05, -0.0004418147436808795, -0.003846872365102172, -0.00328717939555645, 0.0012022160226479173, -0.0014983005821704865, -0.0016885983059182763, -0.002451680600643158, -0.003501641098409891, -0.000990964355878532, 0.003541563870385289, -0.0009524241904728115, -0.00011286907829344273, 0.0002465090365149081, -0.0038947085849940777, 0.0011397285852581263, 0.00023133262584451586, -0.0018838167889043689, 0.00043361441930755973, -0.001511053298600018, 0.0017182882875204086, 0.0038938522338867188, -0.0021887642797082663, -0.003882166463881731, -0.0014023141702637076, 0.0013060945784673095, -0.00018335225468035787, 0.0006075473502278328, -0.0017947268206626177, 0.00034902332117781043, 0.0035776467993855476, -0.003254495095461607, -0.0004895392921753228, -9.627683175494894e-05, -0.0017437953501939774, -0.0033871985506266356, 0.0016890662955120206, 0.000896757235750556, -0.0009178168838843703, -0.000613103446085006, -0.003892764449119568, -0.0015856156824156642, 0.0001625742734177038, 0.0010983448009938002, 0.0033777456264942884, -0.0021238403860479593, -0.0016470784321427345, 0.0017708465456962585, 0.0033610693644732237, 0.0012138698948547244, -0.00037704771966673434, 0.003773711621761322, -0.0012204876402392983, 0.0030650461558252573, 0.0034581925719976425, 0.001997670391574502, 0.0011397446505725384, -0.0018946327036246657, 0.001907829660922289, 0.0029052665922790766, -0.0009961164323613048, -0.0010203673737123609, 0.0022473467979580164, -0.0005465551512315869, 0.0032432093285024166, -0.00150314683560282, 0.0008332930156029761]"
40,security,"[0.0006384039879776537, 0.0020257895812392235, 0.0027716888580471277, -0.0004114325565751642, 0.001688915304839611, 0.002939407480880618, -0.0030364072881639004, -0.0005168579518795013, 0.003734622849151492, -0.003748111892491579, -0.00028513051802292466, 0.001786096952855587, 0.00386263569816947, 0.0021991112735122442, 7.60852126404643e-05, 0.002664299448952079, 0.0014522182755172253, 0.0011414242908358574, 0.0026675642002373934, 0.0008965740562416613, -0.003703787224367261, 0.0037080009933561087, -0.0004377744917292148, 0.0029569887556135654, 0.001194932614453137, -0.001204971456900239, 0.001701805740594864, 0.0006514958804473281, 0.0007939041242934763, -0.001840778160840273, -0.0025939960032701492, 0.0027298524510115385, 0.0012138145975768566, 0.000336891709594056, 0.0015206532552838326, -0.0018449128838256001, 0.0011599049903452396, -0.0025566855911165476, 0.0015910632209852338, -0.0018102317117154598, -0.0025618099607527256, -0.0025520867202430964, 0.002181592397391796, 0.0012348542222753167, 0.002498770132660866, -0.0024196291342377663, -0.0014631928643211722, -0.0037225391715765, 0.0008547964389435947, -0.00014041128451935947, -0.0033834681380540133, -0.0012569993268698454, -0.002843306167051196, 0.0007113461615517735, -0.0026403646916151047, 0.0013336861738935113, -0.00022681470727548003, 0.001225516782142222, 0.0036139071453362703, 0.0007000098703429103, 0.00011693180567817762, 0.002564281690865755, -0.0038025272078812122, -0.0008098268881440163, 0.00012658807099796832, 0.0009529839153401554, 0.002560822293162346, -0.0009449169156141579, -0.002113470807671547, 0.0013222370762377977, -0.0014106757007539272, -0.0008781403885222971, 0.0009034592076204717, 0.0009491993114352226, -0.002725770464166999, 0.002754316898062825, 0.0033458590041846037, -0.0028461148031055927, -0.001630034763365984, 0.0005236351862549782, -0.00181399448774755, 0.0022666845470666885, -0.0021608094684779644, -0.0014351392164826393, -0.002655399963259697, 0.0029292574618011713, 0.003138236002996564, 0.001085265539586544, 0.0011794395977631211, 0.0037111197598278522, 0.0009425335447303951, 0.0037182930391281843, -0.002359780017286539, 0.0020142842549830675, 0.001450749346986413, -0.0024698269553482533, -0.0020186130423098803, -0.0028610448352992535, -0.002256812294945121, 0.0019672487396746874, 0.0007757210405543447, 0.002495311666280031, -0.002589360810816288, 0.0035648064222186804, 0.0027385156136006117, -0.0018964415648952127, 0.0011100872652605176, -0.003421307075768709, 0.0021309368312358856, -0.002120045945048332, 0.0035887458361685276, 0.0032740943133831024, 0.0035994304344058037, -0.0012518404982984066, 0.0017353806179016829, -0.0029929361771792173, 0.000549326476175338, 0.0004647552268579602, 0.002673411276191473, -0.002413441427052021, 0.00035434355959296227, -0.0027468842454254627, -0.0025644772686064243, -0.0010800582822412252, -0.0009716407512314618, -0.002986710052937269, 0.0014330686535686255, -0.0024856259115040302]"
41,signal,"[0.0038606859743595123, -0.0020090420730412006, -8.027938019949943e-05, 0.0028195204213261604, -0.001084649353288114, 0.00162126449868083, 0.0009201798820868134, 0.0016260710544884205, -0.00011206485942238942, 0.003001840552315116, 0.0011344547383487225, 0.0018476651748642325, -0.000671322166454047, 0.003916737157851458, -0.0020682336762547493, -0.0007457727915607393, 0.0034421910531818867, -0.000707634724676609, 0.0002714034344535321, 0.003855064045637846, 0.00012959088780917227, 0.000516932865139097, 0.0015623281942680478, 0.001971315825358033, 0.0010019754990935326, -0.0032605251763015985, 0.0038549378514289856, -0.0021139164455235004, -0.0010997896315529943, -0.003803166327998042, -0.0032937792129814625, -0.0019372814567759633, -0.0038085749838501215, -0.0035035170149058104, -0.001715244958177209, 0.001560337608680129, 0.003899855073541403, 0.0011813704622909427, -0.0035023544915020466, 2.652525290613994e-05, 0.002356704557314515, -0.003484595101326704, 0.0025515856686979532, -0.0030851904302835464, -0.0038498181384056807, 0.0036479062400758266, -0.0025099581107497215, 0.002387878019362688, 0.002491862280294299, -0.003407779848203063, -0.002225884236395359, -0.0018888324266299605, -0.0020007470156997442, 0.001007943064905703, 0.0011463160626590252, -0.0005829048459418118, -0.0035406325478106737, 0.0031009060330688953, -0.0020681198220700026, -0.0019474840955808759, 0.0016470322152599692, 0.0023603502195328474, 0.0009783938294276595, 0.00022486576926894486, -0.0016626374563202262, 0.0037287294398993254, -0.0006396527751348913, 0.0003918918955605477, 0.00010345775808673352, 0.003753659315407276, -0.0009612456196919084, 0.002155792433768511, -0.002748003927990794, -0.0032715043053030968, 0.0006713183829560876, 0.00047565464046783745, 0.00036522807204164565, -0.0013862809864804149, 0.002292930381372571, 0.0037386559415608644, -0.0014946418814361095, -0.0013415234861895442, 0.0036521460860967636, 0.002656077966094017, 0.0012354888021945953, -0.0028722290880978107, -0.0031101787462830544, -0.0019163297256454825, 0.0031265809666365385, -0.0031286266166716814, 0.002123019890859723, -0.002134260255843401, 0.003674726700410247, 0.002771245315670967, 0.0024568545632064342, 0.0012316375505179167, -0.0028754344675689936, -0.003375992178916931, -0.002238035900518298, -0.0027067395858466625, -0.0012564553180709481, 0.0034734641667455435, -0.002885829657316208, 0.00067003263393417, -0.0036880148109048605, -0.0005750340060330927, 0.0012852961663156748, 0.0025627249851822853, -0.0006488870712928474, 0.0009483051835559309, -0.003234251867979765, 0.0011002467945218086, -0.0018660809146240354, 0.0027326736599206924, -0.002585174050182104, -0.0023943542037159204, 0.0038739771116524935, 0.0009196168393827975, 0.0002554827369749546, 0.003645992139354348, 0.002482342766597867, 0.00036834299680776894, 0.00023375419550575316, 0.002036481164395809, -0.0026243580505251884, -0.0008533841464668512, -0.0016122213564813137, 0.0005481308326125145]"
42,fiber,"[0.00012651478755287826, 0.0032533660996705294, 0.0018181304913014174, 0.003749810392037034, -0.0005653041298501194, -0.0009282619575969875, 0.0013274591183289886, -0.0008757952600717545, 0.0025339440908282995, -0.0036734926979988813, 0.0021314448677003384, -0.0003548509848769754, -0.0011660080635920167, -0.0013841470936313272, 0.001212993636727333, 0.0033877333626151085, -0.0035807699896395206, 0.0009603630169294775, -0.0017468658043071628, -0.0031056993175297976, -0.0026892954483628273, -0.0003377321409061551, -0.00313118239864707, 0.00013188245065975934, -0.0010811260435730219, 0.003432320896536112, -0.003674173029139638, -0.0013128096470609307, 0.0006823310977779329, 0.0019485059892758727, -0.002722861710935831, -0.0025202168617397547, 0.0035884759854525328, 0.00044076648191548884, -0.0035024622920900583, -0.001218371675349772, 0.0009522098698653281, 0.002469245810061693, 0.001508063985966146, -0.0009941033786162734, 0.002752549247816205, -0.0018127873772755265, 0.00021231766731943935, -0.00034492011764086783, -0.00016728739137761295, -0.0017712409608066082, -0.0036863423883914948, 0.0033640656620264053, -0.003453509183600545, 0.0011101546697318554, 0.003001295728608966, 0.0017942365957424045, 0.0030701025389134884, -0.0028005349449813366, 0.0021929971408098936, 0.001108052209019661, -0.0034895851276814938, 0.0020133857615292072, 0.0005159219726920128, -0.003558848053216934, -0.0010410993127152324, -0.0020061891991645098, -0.0017806374235078692, -4.552976315608248e-05, -0.003496132791042328, 0.0007910430431365967, 0.003015738446265459, -3.9096294131013565e-06, -0.002676234347745776, -0.001901081413961947, -0.0016967379488050938, 0.0008428291184827685, -0.0025992272421717644, -0.0038676096592098475, -0.002072082133963704, 0.002815942745655775, -0.0019387156935408711, -0.0005848599830642343, -0.0009061304153874516, -0.0004902034415863454, 0.00017205998301506042, -0.003345072502270341, 0.001384572358801961, 0.0004774229309987277, -0.002885864581912756, -0.0016949600540101528, -0.002496166853234172, -0.003010109066963196, -0.0028039116878062487, 0.0011868273140862584, -0.00041854334995150566, 0.001746718306094408, -0.0006459315191023052, -0.003806631313636899, 0.00040109193651005626, -0.00208259467035532, -0.0021144149359315634, -0.0022036144509911537, -0.00018619434558786452, 0.0017289266688749194, 0.002746084937825799, 0.002243870170786977, 0.0007188754971139133, 0.0036374656483531, -0.0016367986099794507, 0.0010179262608289719, -0.0002864973503164947, 0.0023451256565749645, -0.0022224083077162504, 0.0036401767283678055, -0.0020485653076320887, -0.0033479377161711454, -0.002108268439769745, 0.0029288697987794876, -5.7633849792182446e-05, -0.0016008447855710983, -0.001498687663115561, -0.00021502148592844605, -0.001092456979677081, -0.0019019774626940489, -0.0033646314404904842, 0.0017079408280551434, -0.001218721503391862, -0.001393396407365799, 0.0029526171274483204, 0.0008779613999649882, 0.003006237791851163, -0.0006659369100816548]"
43,optoelectronic,"[-0.0011727104429155588, -0.0002397208590991795, 0.0007349824882112443, -0.0013269598130136728, 0.0013151324819773436, -0.0015506508061662316, -0.0007731756195425987, 0.0024778381921350956, 0.002384169027209282, -0.0027099018916487694, -0.003144795075058937, -0.003886113641783595, -0.001463425112888217, 0.0018760616658255458, 0.002309294417500496, 0.0031442465260624886, -0.0020367552060633898, 0.0007673971704207361, 0.0017449143342673779, -0.0037218027282506227, 0.0017943837447091937, 0.0011444458505138755, -0.000558712927158922, -9.464763570576906e-05, -0.0015864890301600099, 0.002663593739271164, -0.00261800829321146, 0.003402871545404196, 0.003740237560123205, -0.0013877605088055134, 0.0014265190111473203, -0.0018029790371656418, -0.003329769242554903, 0.0016661384142935276, 0.002815383719280362, 0.003004709491506219, -0.0014417230850085616, 0.0014711961848661304, -0.000953545153606683, 0.0035505734849721193, 0.0033908395562320948, -0.002410728018730879, 0.0038096799980849028, 0.0006710558664053679, -0.002402690937742591, -0.0017168335616588593, 0.0038141480181366205, 8.755068120080978e-05, 0.002861573128029704, 0.00010378323349868879, -0.0017886655405163765, -0.0005259282188490033, 0.0017761196941137314, 0.00256237736903131, -0.0026372396387159824, -0.0025178075302392244, -0.00026220359723083675, 0.0005192479002289474, 0.001724914414808154, -0.0006943331100046635, 0.0020408888813108206, -0.001583604491315782, -0.0020673354156315327, -9.917399438563734e-05, -0.0004978530341759324, -0.0004649618349503726, -0.0006779235554859042, -0.0017897506477311254, -0.0007447999669238925, -0.0009554468560963869, 0.0020716374274343252, -0.00013541402586270124, -0.00040119298500940204, 0.0025845104828476906, 0.001883424585685134, -0.0016607331344857812, 0.003007258754223585, 0.00011526625166879967, 0.0011156296823173761, 0.0032985503785312176, 0.00328459357842803, 0.0017022766405716538, -0.002567615592852235, -0.0028000392485409975, -0.0031689046882092953, -0.003903779201209545, -0.0018060416914522648, 0.0034386678598821163, 0.0012674159370362759, 0.0005222749896347523, 0.0019822167232632637, 0.0022700452245771885, 0.002778710564598441, -0.0019553769379854202, 0.003120384644716978, 0.0005271226982586086, -0.0032513549085706472, 0.0028736889362335205, 0.0038696909323334694, -0.0028876892756670713, 0.002385955536738038, 0.0033609308302402496, 0.001320553245022893, 0.0034923763014376163, 0.0026760706678032875, -8.414180047111586e-05, -0.0017866931157186627, 0.002743629040196538, 8.173587411874905e-05, 0.002206174423918128, 0.0033686989918351173, -0.0014728474197909236, -0.0021327631548047066, -0.0013720489805564284, 0.0003039294097106904, 0.001521250233054161, 0.0033592795953154564, 0.0013912251451984048, -0.003227880457416177, 0.0014985963935032487, -0.0025586015544831753, -0.0030463903676718473, 0.0009324021521024406, 0.002017077524214983, -0.003131748177111149, -0.0014344316441565752, 0.003148613730445504, -0.0012797049712389708]"
44,machine learning,"[0.0006322683766484261, -0.0005853490438312292, -0.0008704163483344018, -0.0018803171114996076, 0.00077870674431324, -0.0037057888694107533, 0.000912713585421443, -0.003314427100121975, 0.003481131512671709, 0.0024764537811279297, -0.0014337839093059301, -0.001001792843453586, -2.3610286007169634e-05, -0.0016176627250388265, -0.001814373885281384, -0.001083178329281509, 0.00252102455124259, -0.0018395978258922696, -0.00029291980899870396, 0.0025322847068309784, -0.0001390741963405162, 0.003255021059885621, 0.00137671350967139, 0.002750227926298976, -0.000956404663156718, 0.001439270214177668, -0.0001854913280112669, 0.0023689514491707087, -0.0018222808139398694, 0.0023733354173600674, 0.0038668308407068253, -0.0022823538165539503, -0.0010073448065668344, -0.002583430614322424, -0.002548053627833724, -0.001046022865921259, -0.00230575748719275, 0.0008250216487795115, 7.169199670897797e-05, 0.0029520897660404444, -0.003479046979919076, -0.0014554730150848627, -0.0001795397256501019, 0.002339990809559822, -0.003312312066555023, 0.0006852971273474395, 0.001528194174170494, 0.003236113116145134, -0.001044778386130929, 0.001956045627593994, -0.0010003208881244063, -0.003712831996381283, 0.00032916050986386836, -0.0015731443418189883, 0.0027865488082170486, 0.00014085839211475104, -0.0020380893256515265, -0.0029606574680656195, 0.003512623254209757, 0.0033897014800459146, -0.0011995104141533375, -0.002409796928986907, 0.000789905316196382, -0.0008925836882553995, -0.0022999397478997707, 0.0028510114643722773, -0.0010895996820181608, 0.001609146362170577, 0.0017202217131853104, -0.000731734442524612, 0.0007932026055641472, 0.00026731830439530313, -0.0031101980712264776, -0.0010251770727336407, 0.001246838248334825, -0.0006430092034861445, 0.0003524394705891609, 0.0010050976416096091, -5.86041460337583e-05, 0.003668728517368436, 0.0035336881410330534, 0.003292373614385724, -0.0030961292795836926, 0.0015898562269285321, -0.0006951697287149727, 0.0022542232181876898, 0.001998694147914648, -0.00031343355658464134, -0.0026517617516219616, -0.0037399849388748407, -0.0033719579223543406, 0.0006280395900830626, 0.0001301189186051488, 0.0007110884762369096, -0.0031016103457659483, 0.0028286289889365435, -0.0012363333953544497, -0.0018554674461483955, 0.0011571773793548346, 0.00047135655768215656, -0.0004934118478558958, -0.0015808289172127843, -0.0013766972115263343, 0.0033350596204400063, -0.0008896080544218421, 0.001282334909774363, 0.0024918783456087112, -0.0016237854724749923, -0.0005982095608487725, 0.0025255961809307337, -0.0038176681846380234, 0.001206787652336061, 0.0031061330810189247, -0.0018722815439105034, -0.00039214175194501877, 0.0015218674670904875, -0.001464726054109633, 0.0037687120493501425, -0.0026066042482852936, -0.0014612782979384065, -0.003290019230917096, -0.0005974805098958313, -0.0002587635244708508, -0.0006231797160580754, 0.0022065790835767984, -0.00024029538326431066, 0.0026225310284644365, -0.003867503022775054]"
45,math,"[0.0009383835131302476, -0.003684303956106305, 0.0036019675899297, -0.0033351259771734476, -0.0022583287209272385, -0.0016305478056892753, 0.0027762383688241243, -0.0015576016157865524, -0.002773983171209693, 0.0025095012970268726, 0.002647788729518652, -0.0031785115133970976, 0.003106376389041543, 0.00029445206746459007, -0.00018048202036879957, 0.0022385790944099426, 0.002597963670268655, 0.0001777747820597142, -7.731245568720624e-05, -0.0017153428634628654, 0.003357545705512166, -0.003122423542663455, 0.0016033597057685256, -0.0035687987692654133, 0.0022270092740654945, 0.00017751568520907313, -0.0011442044051364064, -0.001590368920005858, -0.001429575146175921, -0.0005308990366756916, 0.0012146475492045283, 0.0010227808961644769, 0.00359814683906734, -0.0020239308942109346, 0.0019349218346178532, 0.0016791090602055192, -0.0003049046790692955, 0.000746564066503197, -0.0009519695886410773, 0.00040863946196623147, 0.0020968937315046787, -0.000562899571377784, -0.0025267349556088448, 6.412754009943455e-05, 0.0012228626292198896, -0.0037822898011654615, -0.0003486734931357205, 0.0008274293504655361, 0.0010174765484407544, -0.0010804423363879323, -0.0008312326390296221, -0.0005844309343956411, -0.0033684936352074146, 0.003187623107805848, 0.003866355400532484, 0.0033454170916229486, -0.0023725919891148806, -0.0007978937355801463, 0.0008653186378069222, 0.0030158990994095802, 0.002208335092291236, -0.0009367959573864937, -0.001408248208463192, 0.003009147010743618, 0.0023299765307456255, 0.00047309882938861847, -0.0017672869144007564, -0.0009263874380849302, -0.002100996905937791, 6.403696170309559e-05, -0.0005594645626842976, -0.0022891752887517214, -0.00015877987607382238, -0.0028518056496977806, 0.003530536312609911, 0.0004913604934699833, -0.00038673196104355156, -0.0016643117414787412, -0.0028303174767643213, -0.0004475538444239646, -0.0014812196604907513, -0.0006242975359782577, -0.003314755391329527, 0.003646071767434478, -8.867008000379428e-05, 0.002459287643432617, -0.0023654093965888023, 0.001787360874004662, -0.00031559818307869136, -0.0011792074656113982, -0.00020529638277366757, 0.00010782619938254356, 0.003864170517772436, -0.0018068264471367002, 7.937832560855895e-05, 0.0002788665296975523, -0.0031179331708699465, -0.00021877996914554387, -0.0011161856818944216, 0.002517722314223647, 0.00035090025630779564, -0.0002492893545422703, -0.0015231481520459056, -0.0029408372938632965, 0.0009826264576986432, 0.0016407041111961007, 0.001616395660676062, -0.00010982347885146737, 0.0002374016330577433, -0.003040292067453265, -0.0019262124551460147, 0.0018244585953652859, 0.0028995091561228037, -0.002258699620142579, -0.003464139997959137, 0.00027158213197253644, 0.003424085909500718, -0.0028474407736212015, 0.002526066266000271, -0.0006209523999132216, 0.0019514673622325063, -0.0005733830039389431, -0.0018621349008753896, 0.0033052745275199413, -0.003016844391822815, -0.0018456008983775973, -0.0018728697905316949, -0.0012911634985357523]"
46,,"[0.001542326295748353, -0.00010396903962828219, -0.00072388508124277, 0.0014198540011420846, -0.003809854853898287, 0.0015625811647623777, -0.0009603617363609374, 0.003658341709524393, 0.00271828705444932, 0.000881324871443212, -0.003398125059902668, 0.000701290788128972, -0.0019779198337346315, -0.0003979861503466964, -0.00034844796755351126, 0.0023603870067745447, 0.000274590594926849, -0.0010299351997673512, -0.001682338654063642, 0.0015235200989991426, 0.00030074655660428107, -0.0004920808132737875, -0.0014531007036566734, 0.0009383964352309704, 0.001079787383787334, 0.0019422114128246903, -0.0038027677219361067, -0.0008233365952037275, 0.0010715196840465069, 0.0014053568011149764, -2.1420522898552008e-05, -0.0016713881632313132, 0.0001533944596303627, 2.8292954084463418e-05, -0.003264161990955472, -0.0012893424136564136, 0.003280826611444354, 0.003888381877914071, -0.0030307010747492313, 0.002171229338273406, 0.0002755885070655495, 0.002545758383348584, 0.0026223824825137854, 0.0025139590725302696, -0.0026541869156062603, -0.0008064219728112221, -0.0016296434914693236, 0.0027627157978713512, 0.002884797053411603, 0.0009928155923262239, -0.0005852399044670165, -0.002104723360389471, -0.000542188121471554, 0.003224326763302088, -0.0009303298429585993, -0.0036394973285496235, 0.0005960726412013173, -0.003626435762271285, 0.002179179573431611, -0.002502842340618372, -0.000898222962860018, -0.0007921746582724154, 0.000813086167909205, 0.003192142816260457, -0.002345214830711484, 0.0022006125655025244, 0.0007118911016732454, -0.0007071681902743876, -0.0006468821666203439, 0.0002012078184634447, 0.0018875178648158908, 0.0038719845470041037, 0.003224474610760808, 0.00205950066447258, 0.002214545849710703, 0.0011471414472907782, -0.003428316442295909, 0.000791036116424948, 0.0007702750153839588, 0.0036868357565253973, 0.0033245368395000696, -0.0015659035416319966, -0.0022632793989032507, -0.0005416825879365206, -0.0007880858611315489, -0.0028803562745451927, 0.003660285845398903, -0.00028601952362805605, 0.0009808617178350687, -7.52032792661339e-05, 0.0021119473967701197, -0.0038939074147492647, -2.1353540432755835e-05, 0.002984564984217286, 0.0015937222633510828, -0.0032485532574355602, -0.0023444758262485266, -0.0037785046733915806, 5.8562982303556055e-05, -0.002035553799942136, -0.002830906305462122, -0.0011861554812639952, -0.0036024232394993305, 0.0030966782942414284, 0.0006837650435045362, 0.003905976191163063, 0.0008337676990777254, -0.0002222273324150592, -0.0030386776197701693, 0.0008598329150117934, 0.0030757493805140257, 0.0004708473279606551, 0.001475381082855165, 0.000342250510584563, -0.002071146387606859, 0.0002789014542941004, 0.0031010403763502836, 0.0006238282076083124, 0.003687584772706032, -0.0026042028330266476, 0.0035800354089587927, -0.003672839840874076, -5.647211310133571e-06, -0.0033981483429670334, -0.0022314738016575575, 0.002820233814418316, 0.000555755861569196, 0.003636431647464633]"
